,Sl.No,State,PC Name,Count of Elector,Poll(%),Count of Votes
64,65,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694
65,66,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069
66,67,Tamil Nadu,NILGIRIS,1428387,70.95,1013410
67,68,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881
68,69,Tamil Nadu,POLLACHI,1597467,70.41,1124743
69,70,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036
70,71,Tamil Nadu,SALEM,1658681,78.16,1296481
71,72,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887
72,73,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243
73,74,Tamil Nadu,TENKASI,1525439,67.65,1031961
74,75,Tamil Nadu,THANJAVUR,1501226,68.27,1024949
75,76,Tamil Nadu,THENI,1622949,69.84,1133513
76,77,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468
77,78,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093
78,79,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461
79,80,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998
80,81,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738
81,82,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102
82,83,Tamil Nadu,VELLORE,1528273,73.53,1123715
83,84,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164
84,85,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634
85,86,Tripura,Tripura West,1463526,81.48,1192435
86,87,Uttar Pradesh,Bijnor,1738307,58.73,1020947
87,88,Uttar Pradesh,Kairana,1722432,62.46,1075839
88,89,Uttar Pradesh,Moradabad,2059578,62.18,1280706
89,90,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608
90,91,Uttar Pradesh,Nagina,1644909,60.75,999203
91,92,Uttar Pradesh,Pilibhit,1831699,63.11,1155917
92,93,Uttar Pradesh,Rampur,1731836,55.85,967200
93,94,Uttar Pradesh,Saharanpur,1855310,66.14,1227083
94,95,Uttarakhand,Almora,1339327,48.74,652726
95,96,Uttarakhand,Garhwal,1369388,52.42,717834
96,97,Uttarakhand,Haridwar,2035726,63.53,1293362
97,98,Uttarakhand,Nainital-Udhamsingh Nagar,2015809,62.47,1259180
98,99,Uttarakhand,Tehri Garhwal,1577664,53.76,848186
99,100,West Bengal,Alipurduars,1773252,79.76,1414258
100,101,West Bengal,Coochbehar,1966893,82.16,1616079
101,102,West Bengal,Jalpaiguri,1885963,83.66,1577828
103,1,Assam,Darrang-Udalguri,2209314,82.01,1811764
104,2,Assam,Diphu,901032,75.74,682441
105,3,Assam,Karimganj,1412148,80.48,1136538
106,4,Assam,Nagaon,1817204,84.97,1544081
107,5,Assam,Silchar ,1369578,79.05,1082616
108,6,Bihar,Banka,1856566,54.48,1011513
109,7,Bihar,Bhagalpur,1983031,53.5,1060982
110,8,Bihar,Katihar,1833009,63.76,1168752
111,9,Bihar,Kishanganj,1829994,62.84,1149988
112,10,Bihar,Purnia,1893698,63.08,1194484
113,11,Chhattisgarh,KANKER,1654440,76.23,1261103
114,12,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125
115,13,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247
116,14,Jammu and Kashmir,JAMMU,1780835,72.22,1286144
117,15,Karnataka,Bangalore central,2433751,54.06,1315612
118,16,Karnataka,Bangalore North,3214496,54.45,1750372
